step,physical_p_residual_m,compound_p_residual_m,physical_pointing_delta,compound_pointing_delta,pointing_diff
1,1.1102230246251565e-16,1.1102230246251565e-16,0.0006999112496021867,0.0006999112496021867,0.0
2,1.5700924586837752e-16,1.5700924586837752e-16,0.0013994194656645723,0.0013994194656645723,0.0
3,1.1102230246251565e-16,1.1102230246251565e-16,0.0020985228707687056,0.0020985228707687056,0.0
