architecture,experiment_id,sigma,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,h_residual,corrector_iterations,correction_norm,step_reductions,rank_jf,nullity_jf,regular,label
URLikeAligned6R,ATR_EXP_029,-0.12,-sigma,4,0.34518724608267354,-0.3712154821302692,0.44505571598705285,0.254810078388178,-0.3480468079744886,0.7,-0.17674060338527497,-0.31535450105379514,0.9323702578804844,1.1443916996305594e-16,0.0,18,1.4666485781271594e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,-0.09,-sigma,3,0.3462925055709637,-0.38346249401344573,0.47160162927308663,0.2607070932616962,-0.34501105259037723,0.7,-0.1592752475287157,-0.3153545010537952,0.9355121240207303,5.551115123125783e-17,5.551115123125783e-17,18,1.4566070137497671e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,-0.06,-sigma,2,0.34746397633394255,-0.395679579413617,0.4979636320118403,0.26687690521430035,-0.34098148380430043,0.7,-0.14088004156445882,-0.31535450105379514,0.9384584980455494,4.163336342344337e-17,0.0,18,1.4440310220541864e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,-0.03,-sigma,1,0.34870033173903,-0.407860587069764,0.5241074026080594,0.27331085861770055,-0.3359722179987154,0.7,-0.12159460981012987,-0.3153545010537952,0.9411515762778248,1.249000902703301e-16,5.551115123125783e-17,18,1.4293665744960194e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,0.0,+sigma,0,0.35,-0.42,0.55,0.28,-0.33,0.7,-0.10146249696610761,-0.31535450105379514,0.9435342603077614,0.0,0.0,0,0.0,0,4,1,True,seed
URLikeAligned6R,ATR_EXP_029,0.03,+sigma,1,0.35136117863054905,-0.43209290621167357,0.5756100158630817,0.28693525545196275,-0.3230838093457989,0.7,-0.08053070143339593,-0.31535450105379526,0.9455508155523727,5.721958498152797e-17,1.1102230246251565e-16,18,1.4139935106335253e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,0.06,+sigma,2,0.3527818494075676,-0.4441349515566186,0.6009076719324226,0.2941076014930268,-0.3152444794699873,0.7,-0.058849202819728344,-0.31535450105379514,0.9471474594763977,8.886119947416683e-17,0.0,18,1.396498160791919e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,0.09,+sigma,3,0.35425979301044974,-0.45612227650582476,0.6258648645114885,0.3015082242466322,-0.30650434421782446,0.7,-0.03647050049759798,-0.31535450105379514,0.9482728727842881,7.97218214573518e-17,0.0,18,1.3781215707681467e-05,0,4,1,True,regular
URLikeAligned6R,ATR_EXP_029,0.12,+sigma,4,0.35579260322514816,-0.46805144369001167,0.6504551702114908,0.3091286658434279,-0.2968869196435358,0.7,-0.013449168222136237,-0.3153545010537952,0.948878632143882,1.3877787807814457e-17,5.551115123125783e-17,18,1.3591990695177896e-05,0,4,1,True,regular
