key,value
n_accepted,9
n_failed,0
n_regular,9
reverse,"{""architecture"": ""IntersectingPairsAligned6R"", ""n"": [0.0, 1.0, 0.0], ""n_steps"": 4, ""step_size"": 0.03, ""epsilon_q"": 2.9218648093718768e-08, ""epsilon_p"": 1.1102230246251565e-16, ""epsilon_d"": 7.525233464116417e-09, ""epsilon_h"": 0.0, ""forward_accepted"": 4, ""reverse_accepted"": 4, ""started_from_endpoint"": true, ""passed"": true}"
pointing_image,"{""n_samples"": 9, ""max_pointing_delta"": 0.06149564254133592, ""min_tangent_norm"": 0.22341366428674173, ""n_interior"": 7, ""n_rank_one"": 7, ""collapsed"": false, ""local_rank_one"": true, ""passed"": true}"
n,"[0.0, 1.0, 0.0]"
c,0.780498929255855
step_size,0.03
n_steps,4
