architecture,experiment_id,sigma,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,h_residual,corrector_iterations,correction_norm,step_reductions,rank_jf,nullity_jf,regular,label
IntersectingPairsAligned6R,ATR_EXP_028,-0.12,-sigma,4,0.3896886967949756,-0.4516321885310655,0.5988476295944509,0.18463125382083545,-0.3137181391098719,0.7,0.2746478375025327,0.780498929255855,0.5615959283912646,0.0,0.0,18,2.9219226551072982e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,-0.09,-sigma,3,0.3807014756485496,-0.4414484411170542,0.5863394453686748,0.20765413753554185,-0.31906386477998167,0.7,0.26676620893347625,0.780498929255855,0.5653823584104168,1.9229626863835638e-16,0.0,18,2.793879893595055e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,-0.06,-sigma,2,0.3710337699388408,-0.432833554469987,0.5740196547785673,0.23131597498656536,-0.3235656107822963,0.7,0.2590554654801146,0.7804989292558548,0.5689566655162284,3.3306690738754696e-16,1.1102230246251565e-16,18,2.626779628892847e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,-0.03,-sigma,1,0.36077120004497354,-0.425716272280966,0.5619059814698273,0.2554750722295223,-0.32720934677512015,0.7,0.2515609472335464,0.7804989292558548,0.5723098035657131,1.9229626863835638e-16,1.1102230246251565e-16,18,2.4357188688053166e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,0.0,+sigma,0,0.35,-0.42,0.55,0.28,-0.33,0.7,0.24431607121610832,0.780498929255855,0.5754399002293719,0.0,0.0,0,0.0,0,4,1,True,seed
IntersectingPairsAligned6R,ATR_EXP_028,0.03,+sigma,1,0.33880216949695896,-0.41557269286728105,0.53828966115904,0.3047749862080808,-0.33195695801863767,0.7,0.23734295837402786,0.780498929255855,0.5783508809889792,3.510833468576701e-16,0.0,18,2.2459892228004494e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,0.06,+sigma,2,0.327252440848252,-0.41231562539964456,0.5267525816387646,0.32970207791869655,-0.333109342132267,0.7,0.23065405789139126,0.780498929255855,0.5810508816004832,1.1102230246251565e-16,0.0,18,2.046239471908612e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,0.09,+sigma,3,0.31541689298361875,-0.41011016980795045,0.5153593902296748,0.35470083560942794,-0.3334918141600948,0.7,0.2242542069810421,0.7804989292558552,0.5835507450785816,0.0,2.220446049250313e-16,18,1.8558337054751487e-05,0,4,1,True,regular
IntersectingPairsAligned6R,ATR_EXP_028,0.12,+sigma,4,0.3033527425103432,-0.40884241210699335,0.5040766330529961,0.3797066122267109,-0.333141283399905,0.7,0.21814266991246997,0.7804989292558551,0.5858627800039211,1.1102230246251565e-16,1.1102230246251565e-16,18,1.680125885602526e-05,0,4,1,True,regular
