h_rad,dp_error,dd_error
1.0000000000000000e-02,3.3333166665299548e-07,3.3111389576134578e-06
1.0000000000000000e-03,3.3333312907116705e-09,3.3111554397088492e-08
1.0000000000000000e-04,3.3356193965102396e-11,3.3115002395407163e-10
1.0000000000000001e-05,4.6994877307102343e-13,3.4711832579062307e-12
9.9999999999999995e-07,5.1738939940044364e-12,3.7126694929029413e-12
