q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7453292519943295e-02,3.4906141993495867e-04,3.4673899352425912e-03,6.8294708694871531e-04,2.7817470109656212e-01
3.4906585039886591e-02,6.9809625749133516e-04,6.9345158153170678e-03,1.3539144412191284e-03,2.7817470109656223e-01
5.2359877559829890e-02,1.0470779323149240e-03,1.0401113605164139e-02,2.0127266081706452e-03,2.7817470109656239e-01
6.9813170079773182e-02,1.3959798681000364e-03,1.3866919309940629e-02,2.6592309548045812e-03,2.7817470109656223e-01
8.7266462599716474e-02,1.7447754946134436e-03,1.7331668995123700e-02,3.2932977417905462e-03,2.7817470109656212e-01
1.0471975511965978e-01,2.0934382497177577e-03,2.0795098806610516e-02,3.9148201706886709e-03,2.7817470109656228e-01
1.2217304763960307e-01,2.4419415813942756e-03,2.4256944990811703e-02,4.5237144057161949e-03,2.7817470109656228e-01
1.3962634015954636e-01,2.7902589497650100e-03,2.7716943914737259e-02,5.1199195694802135e-03,2.7817470109656223e-01
1.5707963267948966e-01,3.1383638291138018e-03,3.1174832086073204e-02,5.7033977120743984e-03,2.7817470109656228e-01
1.7453292519943295e-01,3.4862297099063281e-03,3.4630346173247513e-02,6.2741337530081154e-03,2.7817470109656239e-01
1.9198621771937624e-01,3.8338301008089622e-03,3.8083223025483906e-02,6.8321353954359232e-03,2.7817470109656234e-01
2.0943951023931956e-01,4.1811385307061397e-03,4.1533199692841707e-02,7.3774330122082787e-03,2.7817470109656234e-01
2.2689280275926285e-01,4.5281285507162714e-03,4.4980013446240572e-02,7.9100795033122395e-03,2.7817470109656234e-01
2.4434609527920614e-01,4.8747737362059007e-03,4.8423401797468311e-02,8.4301501242860510e-03,2.7817470109656234e-01
2.6179938779914941e-01,5.2210476888020609e-03,5.1863102519170340e-02,8.9377422852767729e-03,2.7817470109656234e-01
2.7925268031909273e-01,5.5669240384026101e-03,5.5298853664819382e-02,9.4329753204251965e-03,2.7817470109656228e-01
2.9670597283903605e-01,5.9123764451844254e-03,5.8730393588663637e-02,9.9159902273546763e-03,2.7817470109656228e-01
3.1415926535897931e-01,6.2573786016092304e-03,6.2157460965652132e-02,1.0386949376556043e-02,2.7817470109656234e-01
3.3161255787892263e-01,6.6019042344271023e-03,6.5579794811335718e-02,1.0846036190568231e-02,2.7817470109656234e-01
3.4906585039886590e-01,6.9459271066772106e-03,6.8997134501741886e-02,1.1293454792881796e-02,2.7817470109656228e-01
3.6651914291880922e-01,7.2894210196858987e-03,7.2409219793222512e-02,1.1729429626576859e-02,2.7817470109656234e-01
3.8397243543875248e-01,7.6323598150617846e-03,7.5815790842272163e-02,1.2154205042787858e-02,2.7817470109656228e-01
4.0142572795869580e-01,7.9747173766878850e-03,7.9216588225316437e-02,1.2568044859123439e-02,2.7817470109656228e-01
4.1887902047863912e-01,8.3164676327103729e-03,8.2611352958467846e-02,1.2971231888297297e-02,2.7817470109656228e-01
4.3633231299858238e-01,8.6575845575241200e-03,8.5999826517248606e-02,1.3364067437246607e-02,2.7817470109656228e-01
4.5378560551852570e-01,8.9980421737545953e-03,8.9381750856278225e-02,1.3746870777138209e-02,2.7817470109656234e-01
4.7123889803846897e-01,9.3378145542362193e-03,9.2756868428924610e-02,1.4119978584712811e-02,2.7817470109656234e-01
4.8869219055841229e-01,9.6768758239867050e-03,9.6124922206917304e-02,1.4483744355507255e-02,2.7817470109656223e-01
5.0614548307835561e-01,1.0015200162177652e-02,9.9485655699921197e-02,1.4838537789581441e-02,2.7817470109656228e-01
5.2359877559829882e-01,1.0352761804100823e-02,1.0283881297506912e-01,1.5184744150431584e-02,2.7817470109656234e-01
5.4105206811824214e-01,1.0689535043130272e-02,1.0618413867645235e-01,1.5522763597896727e-02,2.7817470109656228e-01
5.5850536063818546e-01,1.1025494232679954e-02,1.0952137804456680e-01,1.5853010495879616e-02,2.7817470109656228e-01
5.7595865315812877e-01,1.1360613788156894e-02,1.1285027693571388e-01,1.6175912695852279e-02,2.7817470109656228e-01
5.9341194567807209e-01,1.1694868188909469e-02,1.1617058184135470e-01,1.6491910797126419e-02,2.7817470109656228e-01
6.1086523819801530e-01,1.2028231980170914e-02,1.1948203990741557e-01,1.6801457384992613e-02,2.7817470109656234e-01
6.2831853071795862e-01,1.2360679774997885e-02,1.2278439895354400e-01,1.7105016247871418e-02,2.7817470109656228e-01
6.4577182323790194e-01,1.2692186256203686e-02,1.2607740749231297e-01,1.7403061574706058e-02,2.7817470109656228e-01
6.6322511575784526e-01,1.3022726178286261e-02,1.2936081474837288e-01,1.7696077133883659e-02,2.7817470109656228e-01
6.8067840827778847e-01,1.3352274369350822e-02,1.3263437067754894e-01,1.7984555435028859e-02,2.7817470109656234e-01
6.9813170079773179e-01,1.3680805733026739e-02,1.3589782598588304e-01,1.8268996875089982e-02,2.7817470109656228e-01
7.1558499331767511e-01,1.4008295250378690e-02,1.3915093214861851e-01,1.8549908870163723e-02,2.7817470109656234e-01
7.3303828583761843e-01,1.4334717981812000e-02,1.4239344142912613e-01,1.8827804974584694e-02,2.7817470109656228e-01
7.5049157835756175e-01,1.4660049068971889e-02,1.4562510689777031e-01,1.9103203988815487e-02,2.7817470109656234e-01
7.6794487087750496e-01,1.4984263736636477e-02,1.4884568245071367e-01,1.9376629057747063e-02,2.7817470109656234e-01
