s,t,p_residual_m,rank_jp,rank_jpd,rank_jd_nred,regular,label
-0.12,-0.12,1.1188630228279524e-16,3,5,2,True,regular
-0.12,-0.09,1.3877787807814457e-17,3,5,2,True,regular
-0.12,-0.06,5.551115123125783e-17,3,5,2,True,regular
-0.12,-0.03,8.886119947416683e-17,3,5,2,True,regular
-0.12,0.0,1.1188630228279524e-16,3,5,2,True,regular
-0.12,0.03,4.163336342344337e-17,3,5,2,True,regular
-0.12,0.06,6.206335383118183e-17,3,5,2,True,regular
-0.12,0.09,1.3877787807814457e-17,3,5,2,True,regular
-0.12,0.12,8.886119947416683e-17,3,5,2,True,regular
-0.09,-0.12,1.3877787807814457e-17,3,5,2,True,regular
-0.09,-0.09,1.3877787807814457e-17,3,5,2,True,regular
-0.09,-0.06,5.551115123125783e-17,3,5,2,True,regular
-0.09,-0.03,2.7755575615628914e-17,3,5,2,True,regular
-0.09,0.0,1.3877787807814457e-17,3,5,2,True,regular
-0.09,0.03,5.721958498152797e-17,3,5,2,True,regular
-0.09,0.06,5.721958498152797e-17,3,5,2,True,regular
-0.09,0.09,5.721958498152797e-17,3,5,2,True,regular
-0.09,0.12,6.206335383118183e-17,3,5,2,True,regular
-0.06,-0.12,5.721958498152797e-17,3,5,2,True,regular
-0.06,-0.09,1.6711069443220838e-16,3,5,2,True,regular
-0.06,-0.06,5.551115123125783e-17,3,5,2,True,regular
-0.06,-0.03,4.588681672222558e-15,3,5,2,True,regular
-0.06,0.0,2.2736289415227323e-15,3,5,2,True,regular
-0.06,0.03,2.931894118276366e-15,3,5,2,True,regular
-0.06,0.06,1.2412670766236366e-16,3,5,2,True,regular
-0.06,0.09,1.3877787807814457e-17,3,5,2,True,regular
-0.06,0.12,1.1188630228279524e-16,3,5,2,True,regular
-0.03,-0.12,7.97218214573518e-17,3,5,2,True,regular
-0.03,-0.09,2.044325800678625e-16,3,5,2,True,regular
-0.03,-0.06,9.597009543210017e-15,3,5,2,True,regular
-0.03,-0.03,5.551115123125783e-17,3,5,2,True,regular
-0.03,0.0,1.1188630228279524e-16,3,5,2,True,regular
-0.03,0.03,5.721958498152797e-17,3,5,2,True,regular
-0.03,0.06,5.721958498152797e-17,3,5,2,True,regular
-0.03,0.09,5.721958498152797e-17,3,5,2,True,regular
-0.03,0.12,7.850462293418876e-17,3,5,2,True,regular
0.0,-0.12,7.97218214573518e-17,3,5,2,True,regular
0.0,-0.09,0.0,3,5,2,True,regular
0.0,-0.06,9.844781772561822e-15,3,5,2,True,regular
0.0,-0.03,5.721958498152797e-17,3,5,2,True,regular
0.0,0.0,0.0,3,5,2,True,regular
0.0,0.03,1.6883057536160649e-16,3,5,2,True,regular
0.0,0.06,1.1188630228279524e-16,3,5,2,True,regular
0.0,0.09,6.938893903907228e-17,3,5,2,True,regular
0.0,0.12,1.1188630228279524e-16,3,5,2,True,regular
0.03,-0.12,5.551115123125783e-17,3,5,2,True,regular
0.03,-0.09,8.326672684688674e-17,3,5,2,True,regular
0.03,-0.06,9.537271766625419e-15,3,5,2,True,regular
0.03,-0.03,1.8041124150158794e-16,3,5,2,True,regular
0.03,0.0,5.551115123125783e-17,3,5,2,True,regular
0.03,0.03,5.721958498152797e-17,3,5,2,True,regular
0.03,0.06,7.97218214573518e-17,3,5,2,True,regular
0.03,0.09,5.721958498152797e-17,3,5,2,True,regular
0.03,0.12,1.3877787807814457e-17,3,5,2,True,regular
0.06,-0.12,1.3877787807814457e-17,3,5,2,True,regular
0.06,-0.09,4.163336342344337e-17,3,5,2,True,regular
0.06,-0.06,4.163336342344337e-17,3,5,2,True,regular
0.06,-0.03,3.194936822262185e-15,3,5,2,True,regular
0.06,0.0,2.2780294631877366e-15,3,5,2,True,regular
0.06,0.03,4.4876783346695965e-15,3,5,2,True,regular
0.06,0.06,0.0,3,5,2,True,regular
0.06,0.09,0.0,3,5,2,True,regular
0.06,0.12,2.7755575615628914e-17,3,5,2,True,regular
0.09,-0.12,5.721958498152797e-17,3,5,2,True,regular
0.09,-0.09,1.1443916996305594e-16,3,5,2,True,regular
0.09,-0.06,1.1857187100668868e-16,3,5,2,True,regular
0.09,-0.03,1.2412670766236366e-16,3,5,2,True,regular
0.09,0.0,1.1857187100668868e-16,3,5,2,True,regular
0.09,0.03,5.721958498152797e-17,3,5,2,True,regular
0.09,0.06,1.3877787807814457e-17,3,5,2,True,regular
0.09,0.09,2.7755575615628914e-17,3,5,2,True,regular
0.09,0.12,1.1443916996305594e-16,3,5,2,True,regular
0.12,-0.12,5.551115123125783e-17,3,5,2,True,regular
0.12,-0.09,1.1443916996305594e-16,3,5,2,True,regular
0.12,-0.06,7.850462293418876e-17,3,5,2,True,regular
0.12,-0.03,5.721958498152797e-17,3,5,2,True,regular
0.12,0.0,6.206335383118183e-17,3,5,2,True,regular
0.12,0.03,0.0,3,5,2,True,regular
0.12,0.06,6.206335383118183e-17,3,5,2,True,regular
0.12,0.09,5.721958498152797e-17,3,5,2,True,regular
0.12,0.12,0.0,3,5,2,True,regular
