metric,value
jp_e6_norm,6.014889436379362e-17
jd_e6_norm,0.0
position_change_m,0.0
pointing_change,5.551115123125783e-17
roll_error_rad,4.440892098500626e-16
roll_axis_misalignment,2.387624894196368e-16
