h_rad,jp_error,jd_error
0.01,1.5279531487937412e-05,2.8526456983059112e-05
0.001,1.5279611230391245e-07,2.852659067034116e-07
0.0001,1.5282406480440213e-09,2.851391477237176e-09
1e-05,1.8241675678765015e-11,3.119489473671998e-11
1e-06,1.472769911032407e-10,1.085846677177555e-10
