architecture,experiment_id,s,t,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,corrector_iterations,correction_norm,step_reductions,rank_jp,rank_jpd,rank_jd_nred,chart_sigma_1,chart_sigma_2,chart_condition,pointing_sigma_1,pointing_sigma_2,pointing_condition,tangent_principal_angle_1,tangent_principal_angle_2,dist_ua_m,dist_ub_m,regular,label
URLikeAligned6R,ATR_EXP_023,-0.09,0.09,row_s=-0.090000_+t,3,0.36383329789843305,-0.38316601345117757,0.45936709191763536,0.35959143473637056,-0.3394068381504215,0.7,-0.12935645585342312,-0.4043166367229425,0.9054252948742317,5.721958498152797e-17,18,1.3951000177610994e-05,0,3,5,2,0.9998026019407005,0.9990896079992005,1.0007136436369584,0.9761683831751223,0.5748473256420902,1.6981350345237607,5.119960273681866e-05,0.005582746273094322,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,0.12,row_s=-0.090000_+t,4,0.36325819152942584,-0.3708021133642743,0.432355164237108,0.3566650228916181,-0.3423208820973738,0.7,-0.1455575166329555,-0.4071835720023642,0.9016731935923583,4.163336342344337e-17,18,1.402448346164958e-05,0,3,5,2,,,,,,,5.270075796676083e-05,0.005611690223404446,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,-0.12,row_s=-0.060000_-t,4,0.3628364796645247,-0.4687917046901085,0.6472155836784547,0.3483987560022311,-0.29396666857602327,0.7,-0.0013491375071602726,-0.3500151253530488,0.9367430767569497,8.326672684688674e-17,18,1.2981408964982701e-05,0,3,5,2,,,,,,,6.897147131843598e-05,0.005191751217675943,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,-0.09,row_s=-0.060000_-t,3,0.36223944176313605,-0.4566509145465135,0.6216079027441137,0.3460835215364781,-0.3035082214207814,0.7,-0.02312067903191488,-0.3549386915823314,0.9346036376020188,5.551115123125783e-17,18,1.3149969884720677e-05,0,3,5,2,0.9998252961468436,0.9989954844437162,1.0008306461000567,0.9650121150809954,0.7343276399044659,1.3141437999072743,6.625140727480905e-05,0.005259191455035787,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,-0.06,row_s=-0.060000_-t,2,0.36164071145030324,-0.4444676115068279,0.5957128313188705,0.3436760001185037,-0.31215492904279213,0.7,-0.04424074396277912,-0.3595780917789127,0.9320656374345403,1.3877787807814457e-17,18,1.331421405361752e-05,0,3,5,2,0.9998209130993826,0.999550925843421,1.000270108554733,0.9669801064344935,0.7119393210741238,1.3582338800666076,6.32171801762166e-05,0.005324913158353927,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,-0.03,row_s=-0.060000_-t,1,0.36104239391557197,-0.4322449753921418,0.5695566453416407,0.3411782468348831,-0.3198860262705395,0.7,-0.06466232647733758,-0.36392869166836667,0.9291795794759424,5.721958498152797e-17,18,1.347116645283024e-05,0,3,5,2,0.9998804541149356,0.9998164859335349,1.0000639799226165,0.9687846036542617,0.6881190531579968,1.407873534685897,6.008833527285303e-05,0.005387733627357289,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,0.0,-s,2,0.36044641961477525,-0.41998659952478934,0.5431670558648566,0.3385925978358901,-0.32668193434104,0.7,-0.08434099768011202,-0.367986143106976,0.9259982692162959,1.3877787807814457e-17,18,3.2777182845446547e-06,0,3,5,2,0.9999891853896623,0.9998125486546868,1.000176669851977,0.9704491469421759,0.6628846320543048,1.4639789489985864,5.3290954680059e-05,0.0013141140665771992,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,0.03,row_s=-0.060000_+t,1,0.3598545277734258,-0.40769654579410086,0.5165731623112837,0.3359216792700231,-0.3325245888128814,0.7,-0.10323530959171398,-0.37174639860769176,0.922576330704248,1.249000902703301e-16,18,1.3721552622888676e-05,0,3,5,2,0.9998837491821069,0.9998088586827759,1.0000749048167363,0.9719970100821278,0.6362681826279031,1.527653018995235,5.506767214331417e-05,0.005490847148586524,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,0.06,row_s=-0.060000_+t,2,0.35926825089211956,-0.3953793892474937,0.4898053667483312,0.33316841264978503,-0.33739779183212737,0.7,-0.12130719807421136,-0.37520572848195577,0.9189696540200384,1.3877787807814457e-17,18,1.3839709399676513e-05,0,3,5,2,0.9998056609710737,0.999571062311435,1.0002346993310272,0.9734506814119152,0.6083179387956725,1.6002333966003373,5.335659519660987e-05,0.005537799724358236,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.06,0.09,row_s=-0.060000_+t,3,0.35868890060433317,-0.38304024675239084,0.46289523897730667,0.330336014778119,-0.3412875792828047,0.7,-0.13852237738256562,-0.3783607408120046,0.9152347790465969,1.1102230246251565e-16,18,1.3936565239613009e-05,0,3,5,2,0.9998030142367832,0.999059024070401,1.0007446909025965,0.9748313890108797,0.5790996271079537,1.6833569620468,5.283411323592925e-05,0.005576182842157939,not_applicable,not_applicable,True,regular
