rank_jp,rank_jpd,rank_jd_nred,regular,jp_e6_norm,jd_e6_norm
3,5,2,True,6.728206124065063e-17,1.1631705747361534e-16
3,5,2,True,1.9538093265519402e-16,3.469446951953614e-18
3,5,2,True,9.163298078583733e-17,0.0
3,5,2,True,1.5426903232063038e-16,5.551117770103112e-17
3,5,2,True,3.0739378311296204e-17,1.2412670766236366e-16
3,5,2,True,8.292268540375458e-17,0.0
3,5,2,True,4.0782699592774747e-16,5.594315114139762e-17
3,5,2,True,2.831162250259887e-16,0.0
3,5,2,True,1.6841230315755561e-16,7.473417450352271e-17
3,5,2,True,1.0334352130024815e-16,0.0
3,5,2,True,1.591000101570171e-16,0.0
3,5,2,True,1.3704933029817707e-16,0.0
3,5,2,True,4.2861105053516515e-17,7.076311083754595e-17
3,5,2,True,3.957917118485193e-17,5.43054346022841e-17
3,5,2,True,9.448304077190884e-17,5.618469141565346e-17
3,5,2,True,1.0754586043036144e-16,0.0
3,5,2,True,1.0779397595732116e-16,0.0
3,5,2,True,4.019473053633777e-16,5.551115123125783e-17
3,5,2,True,8.586059801516017e-17,0.0
3,5,2,True,9.518875214663928e-17,1.2719202621569003e-16
3,5,2,True,1.0574701291099616e-16,5.551115123125783e-17
3,5,2,True,4.6652956178665837e-17,5.551115123125783e-17
3,5,2,True,2.6039493739504164e-16,0.0
3,5,2,True,1.4274689963004447e-16,8.582937747229195e-17
3,5,2,True,7.995268800559282e-17,5.551115123125783e-17
3,5,2,True,1.0359073756317516e-16,2.3551386880256624e-16
3,5,2,True,7.893587508695049e-17,0.0
3,5,2,True,8.725934980155604e-17,6.938893903907228e-17
3,5,2,True,1.7504229180492404e-16,1.2413882881933434e-16
3,5,2,True,9.961924265613587e-17,1.2197462367390768e-16
3,5,2,True,7.319320306019901e-17,1.4946834900704541e-16
3,5,2,True,8.638540274316698e-17,7.936241409668611e-17
3,5,2,True,2.156772182005776e-16,0.0
3,5,2,True,8.81634381453177e-17,1.300117091939649e-16
3,5,2,True,1.164237273926999e-16,1.4946834900704541e-16
3,5,2,True,1.9932767238569056e-16,7.97218214573518e-17
3,5,2,True,1.2408749518735996e-16,5.721958498152797e-17
3,5,2,True,8.701328688121327e-17,7.850462293418876e-17
3,5,2,True,1.7050664023325586e-16,2.0014830212433605e-16
3,5,2,True,1.472421596190367e-16,0.0
3,5,2,True,1.1032895858130335e-16,0.0
3,5,2,True,8.689215865143175e-17,0.0
3,5,2,True,1.3447184321810006e-16,0.0
3,5,2,True,3.697495030125603e-17,1.4220500840710912e-16
3,5,2,True,1.7092969054398357e-16,1.3597399555105182e-16
3,5,2,True,2.0219437441982003e-16,1.4304896245381993e-16
3,5,2,True,1.0298254256264381e-16,1.4488835837920476e-16
3,5,2,True,1.663848743032058e-16,7.473417450352271e-17
