q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
9.5993108859688125e-01,1.8469944529401344e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
9.7738438111682457e-01,1.8778862511435623e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
9.9483767363676789e-01,1.9086350410384333e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0122909661567112e+00,1.9392384809853478e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0297442586766545e+00,1.9696942404138679e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0471975511965976e+00,1.9999999999999980e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0646508437165410e+00,2.0301534518428140e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.0821041362364843e+00,2.0601522996402156e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0995574287564276e+00,2.0899942588637942e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1170107212763709e+00,2.1196770569328192e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1344640137963142e+00,2.1491984333872942e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.1519173063162575e+00,2.1785561400601072e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1693705988362009e+00,2.2077479412482320e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.1868238913561442e+00,2.2367716138829864e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2042771838760873e+00,2.2656249476993299e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2217304763960306e+00,2.2943057454041821e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.2391837689159739e+00,2.3228118228437577e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2566370614359172e+00,2.3511410091698919e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2740903539558606e+00,2.3792911470053635e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2915436464758039e+00,2.4072600926081929e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
1.3089969389957472e+00,2.4350457160348813e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3264502315156905e+00,2.4626459013026323e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3439035240356338e+00,2.4900585465504770e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3613568165555769e+00,2.5172815641993480e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3788101090755203e+00,2.5443128811110553e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
